"state_dist","state_id","district","state","name","party","incumbent","first_name","last_name","unique_cand_id"
"CO01","CO",1,"Colorado","Danny Stroud","R",FALSE,"Danny","Stroud","CO01_R_Stroud"
"CO02","CO",2,"Colorado","Jared Polis","D",TRUE,"Jared","Polis","CO02_D_Polis"
"CO02","CO",2,"Colorado","Kevin Lundberg","R",FALSE,"Kevin","Lundberg","CO02_R_Lundberg"
"CO03","CO",3,"Colorado","Sal Pace","D",FALSE,"Sal","Pace","CO03_D_Pace"
"CO03","CO",3,"Colorado","Scott Tipton","R",TRUE,"Scott","Tipton","CO03_R_Tipton"
"CO04","CO",4,"Colorado","Brandon Shaffer","D",FALSE,"Brandon","Shaffer","CO04_D_Shaffer"
"CO04","CO",4,"Colorado","Cory Gardner","R",TRUE,"Cory","Gardner","CO04_R_Gardner"
"CO05","CO",5,"Colorado","Doug Lamborn","R",TRUE,"Doug","Lamborn","CO05_R_Lamborn"
"CO05","CO",5,"Colorado","Bob Evans","D",FALSE,"Bob","Evans","CO05_D_Evans"
"CO06","CO",6,"Colorado","Joe Miklosi","D",FALSE,"Joe","Miklosi","CO06_D_Miklosi"
"CO06","CO",6,"Colorado","Mike Coffman","R",TRUE,"Mike","Coffman","CO06_R_Coffman"
"CO07","CO",7,"Colorado","Ed Perlmutter","D",TRUE,"Ed","Perlmutter","CO07_D_Perlmutter"
"CO07","CO",7,"Colorado","Joe Coors","R",FALSE,"Joe","Coors","CO07_R_Coors"
"CT01","CT",1,"Connecticut","John Larson","D",TRUE,"John","Larson","CT01_D_Larson"
"CT01","CT",1,"Connecticut","John Decker","R",FALSE,"John","Decker","CT01_R_Decker"
"CT02","CT",2,"Connecticut","Joe Courtney","D",TRUE,"Joe","Courtney","CT02_D_Courtney"
"CT02","CT",2,"Connecticut","Paul Formica","R",FALSE,"Paul","Formica","CT02_R_Formica"
"CT03","CT",3,"Connecticut","Rosa DeLauro","D",TRUE,"Rosa","DeLauro","CT03_D_DeLauro"
"CT03","CT",3,"Connecticut","Wayne Winsley","R",FALSE,"Wayne","Winsley","CT03_R_Winsley"
"CT04","CT",4,"Connecticut","Jim Himes","D",TRUE,"Jim","Himes","CT04_D_Himes"
"CT04","CT",4,"Connecticut","Steve Obsitnik","R",FALSE,"Steve","Obsitnik","CT04_R_Obsitnik"
"CT05","CT",5,"Connecticut","Elizabeth Esty","D",FALSE,"Elizabeth","Esty","CT05_D_Esty"
"CT05","CT",5,"Connecticut","Andrew Roraback","R",FALSE,"Andrew","Roraback","CT05_R_Roraback"
"DE00","DE",1,"Delaware","John Carney","D",TRUE,"John","Carney","DE01_D_Carney"
"DE00","DE",1,"Delaware","Tom Kovach","R",FALSE,"Tom","Kovach","DE01_R_Kovach"
"FL01","FL",1,"Florida","Jim Bryan","D",FALSE,"Jim","Bryan","FL01_D_Bryan"
"FL01","FL",1,"Florida","Jeff Miller","R",TRUE,"Jeff","Miller","FL01_R_Miller"
"FL02","FL",2,"Florida","Alfred Lawson","D",FALSE,"Alfred","Lawson","FL02_D_Lawson"
